Date,Name,Icon,Type,Quantity,Units,Calories,Deleted,Fat (g),Protein (g),Carbohydrates (g),Saturated Fat (g),Sugars (g),Fiber (g),Cholesterol (mg),Sodium (mg)
03/22/2020,"Apple, Medium",Apple,Breakfast,5.0,Ounces,66,0,1.84,0.33,17.54,n/a,n/a,3.4,n/a,0.92
03/22/2020,Clementines,Orange,Breakfast,2.0,Pieces,80,0,1,2,20,0,14,4,0,2
03/22/2020,"Chicken, Breast, Raw, Skinless, Boneless",Chicken,Lunch,3.0,Ounces,102,0,2.23,19.14,0,0.48,0,0,62.9,38.27
03/22/2020,"Onion, Yellow, Whole, Small",Onion,Lunch,0.25,Each,7,0,0.2,0.19,1.63,0.1,0.74,0.30,0,0.70
03/22/2020,Cojita Cheese,Cheese,Lunch,0.5,Ounce,25,0,2,1.75,0,n/a,n/a,n/a,n/a,n/a
03/22/2020,Raw White Onion,Onion,Lunch,2.0,Tablespoons,16,0,0.5,0.45,3.73,0.3,1.70,0.68,0,1
03/22/2020,"Chipotle Peppers, In Adobo Sauce",Peppers,Lunch,0.5,Ounce,8,0,0.20,0,1.62,0,0,0,0,153.90
03/22/2020,"Tomatoes, Roma, Fresh, Med",Tomato,Lunch,0.25,Dry Cup,7,0,0,0.25,1.50,0,1,0.50,0,1.75
03/22/2020,"Stock, Chicken, Prep from Recipe",Soup,Lunch,0.33,Cup,29,0,0.95,2,2.80,0.25,1.25,0,2.38,113.26
03/22/2020,"Chicken Thighs, Boneless, Skinless, Raw",Chicken,Lunch,3.0,Ounces,91,0,n/a,15.19,0,0.76,0,0,72.14,102.51
03/22/2020,"Egg, Large",Egg,Lunch,2.0,Each,143,0,9.51,12.56,0.72,3.13,0.37,0,372,142
03/22/2020,"Oil, Olive, Extra Virgin",Oil,Lunch,0.5,Tablespoon,60,0,6.75,0,0,1,0,0,0,0
03/22/2020,"Bagel, Everything",Bagel,Dinner,1.0,Each,270,0,2,9,56,0,5,2,0,620
03/22/2020,"Beef, Chorizo",Beef,Dinner,1.5,Ounces,188,0,18.22,4.25,1.82,8.50,0.61,0,57.71,370.57
03/22/2020,"Egg, Large",Egg,Dinner,3.0,Each,215,0,14.27,18.84,1.8,4.69,0.56,0,558,213
03/22/2020,"Oil, Olive, Extra Virgin",Oil,Dinner,0.5,Tablespoon,60,0,6.75,0,0,1,0,0,0,0
03/22/2020,"Salad Dressing, Real Mayonnaise",Mayonnaise,Dinner,1.0,Tablespoon,97,0,10.77,0,0,1.62,0,0,5.38,75.38
03/22/2020,Cojita Cheese,Cheese,Dinner,0.5,Ounce,25,0,2,1.75,0,n/a,n/a,n/a,n/a,n/a
