Date,Name,Icon,Type,Quantity,Units,Calories,Deleted,Fat (g),Protein (g),Carbohydrates (g),Saturated Fat (g),Sugars (g),Fiber (g),Cholesterol (mg),Sodium (mg)
05/31/2020,Pineapple,Pineapple,Breakfast,2.75,Ounces,37,0,0.9,0.42,9.85,n/a,n/a,n/a,n/a,n/a
05/31/2020,"Apricots, Fresh, Whole",Peach,Breakfast,1.0,Each,17,0,0.14,0.49,3.89,0.1,3.23,0.70,0,0.35
05/31/2020,Zucchini,Zucchini,Lunch,1.6,Ounces,8,0,0.14,0.54,1.41,0.5,1.13,0.45,0,3.63
05/31/2020,Bonito Flakes,Fish,Lunch,1.0,Tablespoon,3,0,0,0.50,0,0,0,0,0.50,2
05/31/2020,Gochujang dressing,Recipe,Lunch,1.5,Servings,53,0,0.59,0.59,11.74,0,5.87,0.59,0,410.74
05/31/2020,enoki Mushrooms,Mushroom,Lunch,1.0,Ounce,13,0,0,0.57,2.27,0,0.57,0.85,0,0
05/31/2020,Soondubu concentrate 05/21/20,Recipe,Lunch,2.45,Servings,142,0,7.95,11.49,5.11,3.9,4.71,0.13,39.49,85.87
05/31/2020,Chikuwa broiled fish cake,Fish,Lunch,1.1,Ounces,33,0,0,2.75,4.95,0,1.10,0,5.50,379.50
05/31/2020,Raw Daikon Radish,Radish,Lunch,1.0,Ounce,1,0,0.3,0.5,0.30,n/a,0.18,0.13,n/a,n/a
05/31/2020,Japanese pickled cucumber,Pickle,Lunch,0.75,Ounce,8,0,0,0,0,0,0.50,0.50,0,92.50
05/31/2020,Japchae salad,Recipe,Lunch,8.3,Servings,190,0,3.75,1.13,40.84,0.52,3.42,2.22,0,37.22
05/31/2020,"Cheese, Wedge, Queso, Cotija",Cheese,Lunch,1.2,Ounces,146,0,12.15,8.50,0,7.29,0,0,36.45,583.19
05/31/2020,Olive oil sourdough bread,WhiteBread,Lunch,1.0,Ounce,70,0,1.25,2,13.50,0,1,9.50,0,120
05/31/2020,"Honey, Amber",Honey,Lunch,1.0,Teaspoon,21,0,0,0.2,5.77,0,5.75,0.1,0,0.28
05/31/2020,"Oil, Olive, Extra Virgin",Oil,Dinner,1.0,Tablespoon,119,0,13.50,0,0,2,0,0,0,0
05/31/2020,Pomegranate Syrup,Syrup,Dinner,1.0,Teaspoon,40,0,0,0,9,0,7,0,0,0
05/31/2020,"Quinoa, dry",Grain,Dinner,0.25,Cup,170,0,3,5,30,0,4,4,0,5
05/31/2020,"Cheese, Wedge, Queso, Cotija",Cheese,Dinner,0.66,Ounce,80,0,6.68,4.68,0,4.1,0,0,20.5,320.75
05/31/2020,Raw Daikon Radish,Radish,Dinner,1.05,Ounces,1,0,0.3,0.5,0.32,n/a,0.18,0.13,n/a,n/a
05/31/2020,"Yogurt, Whole Cow Milk",Yogurt,Dinner,115.0,Grams,81,0,5.9,4.7,4.58,3.56,1.53,0,20.35,152.66
05/31/2020,"Jam, Apricot",Jam,Dinner,1.0,Teaspoon,16,0,0.1,0.5,4.29,0,2.89,0.2,0,2.67
05/31/2020,Olive oil sourdough bread,WhiteBread,Dinner,2.0,Ounces,140,0,2.50,4,27,0,2,19,0,240
05/31/2020,Peanut Butter,PeanutButter,Dinner,0.75,Tablespoon,71,0,5.63,3,2.63,0.75,0.75,1.13,0,15
05/31/2020,"Jam, Apricot",Jam,Dinner,1.0,Teaspoon,16,0,0.1,0.5,4.29,0,2.89,0.2,0,2.67
05/31/2020,Tuna In Olive Oil,Fish,Dinner,86.0,Grams,250,0,17.20,21.89,0,n/a,0,0,n/a,n/a
05/31/2020,Clementines,Orange,Snacks,2.0,Pieces,80,0,1,2,20,0,14,4,0,2
05/31/2020,Protein powder rice cake bars,Recipe,Snacks,1.0,Serving,92,0,3.14,3.44,12.59,0.42,5.5,0.65,1.88,12.31
05/31/2020,"Muffin, Blueberry, Med",Muffin,Snacks,1.0,Each,270,0,14,3,33,2,19,1,50,260
05/30/2020,Clementines,Orange,Breakfast,1.0,Piece,40,0,0.50,1,10,0,7,2,0,1
05/30/2020,enoki Mushrooms,Mushroom,Lunch,1.0,Ounce,13,0,0,0.57,2.27,0,0.57,0.85,0,0
05/30/2020,Japanese pickled cucumber,Pickle,Lunch,1.0,Ounce,10,0,0,0,0,0,0.67,0.67,0,123.33
05/30/2020,Soondubu concentrate 05/21/20,Recipe,Lunch,2.75,Servings,160,0,8.93,12.90,5.73,3.46,5.29,0.15,44.33,96.39
05/30/2020,Bonito Flakes,Fish,Lunch,1.0,Tablespoon,3,0,0,0.50,0,0,0,0,0.50,2
05/30/2020,Chikuwa broiled fish cake,Fish,Lunch,1.2,Ounces,36,0,0,3,5.40,0,1.20,0,6,414
05/30/2020,"Egg, Large",Egg,Lunch,1.0,Each,72,0,4.75,6.28,0.36,1.56,0.19,0,186,71
05/30/2020,Japchae salad,Recipe,Lunch,8.0,Servings,183,0,3.61,1.9,39.36,0.50,3.30,2.14,0,35.87
05/30/2020,Raw Daikon Radish,Radish,Lunch,1.05,Ounces,1,0,0.3,0.5,0.32,n/a,0.18,0.13,n/a,n/a
05/30/2020,Gochujang dressing,Recipe,Lunch,1.3,Servings,46,0,0.51,0.51,10.17,0,5.9,0.51,0,355.97
