Date,Name,Icon,Type,Quantity,Units,Calories,Deleted,Fat (g),Protein (g),Carbohydrates (g),Saturated Fat (g),Sugars (g),Fiber (g),Cholesterol (mg),Sodium (mg)
03/29/2020,"Apple, Medium",Apple,Breakfast,5.0,Ounces,66,0,1.84,0.33,17.54,n/a,n/a,3.4,n/a,0.92
03/29/2020,Bulgarian Yogurt,Yogurt,Breakfast,0.33,Cup,46,0,2.64,4.29,1.65,1.49,1.65,0,8.25,52.80
03/29/2020,"Bread, Pita, White",Tortilla,Lunch,1.0,Each,165,0,0.72,5.46,33.42,0.10,0.78,1.32,0,321.60
03/29/2020,Cojita Cheese,Cheese,Lunch,0.5,Ounce,25,0,2,1.75,0,n/a,n/a,n/a,n/a,n/a
03/29/2020,"Egg, Large",Egg,Lunch,0.15,Each,11,0,0.71,0.94,0.5,0.23,0.3,0,27.90,10.65
03/29/2020,Bulgarian Yogurt,Yogurt,Lunch,0.25,Cup,35,0,2,3.25,1.25,1.13,1.25,0,6.25,40
03/29/2020,"Bread, Long Italian",WhiteBread,Lunch,0.15,Ounce,9,0,0,0.23,1.80,0,0,0,0,19.50
03/29/2020,"Oil, Olive, Extra Virgin",Oil,Lunch,0.25,Tablespoon,30,0,3.38,0,0,0.50,0,0,0,0
03/29/2020,"Lamb, Ground",Lamb,Lunch,3.53,Ounces,193,0,12.40,20.28,0,4.78,0,0,62.88,53.14
03/29/2020,"Cabbage, Shredded, Cooked",Cabbage,Lunch,0.33,Cup,11,0,0.3,0.63,2.73,0,1.38,0.94,0,3.96
03/29/2020,"Beets, Whole, 2"" Diameter",Beet,Lunch,0.5,Each,18,0,0.7,0.66,3.92,0.1,2.77,1.15,0,31.98
03/29/2020,"Cucumber, Persian Organic",Cucumber,Lunch,2.0,Each,11,0,0,0,1.78,n/a,n/a,0.89,n/a,n/a
03/29/2020,Korean Soybean Paste,Sauce,Dinner,1.0,Tablespoon,33,0,1,1,5,n/a,0,0,0,560
03/29/2020,Daikon Radish Kimchi,Radish,Dinner,0.5,Cup,13,0,0.11,0.59,2.75,0.2,1.12,0.87,0,244.67
03/29/2020,"Squash, Zucchini, w/ Skin, Large",Zucchini,Dinner,0.25,Each,14,0,0.26,0.98,2.51,0.6,2.2,0.81,0,6.46
03/29/2020,"Chicken Breast, Cooked, Skinless, Boneless",Chicken,Dinner,4.25,Ounces,200,0,4.37,37.64,0,1.21,0,0,n/a,89.86
03/29/2020,"Mushrooms, Brown",Mushroom,Dinner,0.33,Cup,6,0,0.3,0.72,1.23,0,0.49,0.17,0,1.72
03/29/2020,"Mushrooms, Enoki, Sliced",Mushroom,Dinner,0.25,Cup,6,0,0.5,0.43,1.27,0,0.4,0.44,0,0.49
