Date,Name,Icon,Type,Quantity,Units,Calories,Deleted,Fat (g),Protein (g),Carbohydrates (g),Saturated Fat (g),Sugars (g),Fiber (g),Cholesterol (mg),Sodium (mg)
04/19/2020,Bulgarian Yogurt,Yogurt,Breakfast,4.0,Tablespoons,35,0,2,3.25,1.25,1.13,1.25,0,6.25,40
04/19/2020,"Sugar, Granulated",SugarWhite,Breakfast,0.2,Tablespoon,10,0,0,0,2.52,0,2.51,0,0,0.3
04/19/2020,"Orange, Medium",Orange,Breakfast,0.33,Each,20,0,0.5,0.41,5.8,0,4.4,1.4,0,0
04/19/2020,Clementines,Orange,Breakfast,1.0,Piece,40,0,0.50,1,10,0,7,2,0,1
04/19/2020,"Flour, all purpose unbleached, by weight",Grain,Lunch,100.0,Grams,367,0,0,13.33,76.67,0,0,3.33,0,0
04/19/2020,"Raw Green Cabbage, Shredded",Cabbage,Lunch,0.5,Cup,6,0,0.5,0.55,2.60,0,1.40,1.10,0,8
04/19/2020,"Sprouts, Mung Bean, Mature, Cooked",Sprouts,Lunch,1.0,Cup,26,0,0.11,2.52,5.20,0.2,3.52,0.99,0,12.40
04/19/2020,"Oil, Canola",Oil,Lunch,1.0,Tablespoon,120,0,14,0,0,1,0,0,0,0
04/19/2020,"Egg, Large",Egg,Lunch,1.0,Each,72,0,4.75,6.28,0.36,1.56,0.19,0,186,71
04/19/2020,Heirloom Tomato By Weight,Tomato,Lunch,4.0,Ounces,16,0,0,1.60,5.60,0,4,1.60,n/a,0
04/19/2020,"Flour, all purpose unbleached, by weight",Grain,Dinner,150.0,Grams,550,0,0,20,115,0,0,5,0,0
04/19/2020,"Pancetta, Uncured",Bacon,Dinner,1.0,Ounce,101,0,9.11,4.5,0,4.5,n/a,n/a,20.25,465.74
04/19/2020,"Egg, Large",Egg,Dinner,1.0,Each,72,0,4.75,6.28,0.36,1.56,0.19,0,186,71
04/19/2020,"Mushrooms, Brown",Mushroom,Dinner,2.0,Cups,38,0,0.17,4.35,7.48,0.2,2.99,1.4,0,10.44
04/19/2020,"Onion, Yellow, Whole, Small",Onion,Dinner,0.5,Each,14,0,0.4,0.39,3.27,0.1,1.48,0.60,0,1.40
04/19/2020,"Oil, Olive, Extra Virgin",Oil,Dinner,0.33,Tablespoon,39,0,4.46,0,0,0.66,0,0,0,0
04/19/2020,"Butter, Unsalted, Stick",Butter,Dinner,3.0,Tablespoons,300,0,33,0,0,21,0,0,90,0
04/19/2020,D'Anjou pear,Pear,Dinner,3.5,Ounces,59,0,0.13,0.36,15.64,0.4,9.83,3.17,0,1.3
04/19/2020,"Sugar, Granulated",SugarWhite,Dinner,0.5,Tablespoon,24,0,0,0,6.30,0,6.29,0,0,0.6
04/19/2020,Pork Lard,Pork,Dinner,1.0,Tablespoon,130,0,14,0,0,4.50,0,0,15,0
04/19/2020,"Opal Apple, Large",Apple,Snacks,7.0,Ounces,104,0,0.31,0.54,27.39,n/a,20.62,4.75,n/a,2.33
04/19/2020,Clementines,Orange,Snacks,2.0,Pieces,80,0,1,2,20,0,14,4,0,2
04/19/2020,Mary's Gone Crackers,Cracker,Snacks,6.0,Pieces,65,0,2.31,1.38,9.69,0.23,0,1.38,0,87.69
04/19/2020,"Sugar, Granulated",SugarWhite,Snacks,1.0,Teaspoon,16,0,0,0,4.20,0,4.19,0,0,0.4
04/19/2020,"Tomatoes, Roma, Fresh, Med",Tomato,Snacks,0.5,Dry Cup,14,0,0,0.50,3,0,2,1,0,3.50
04/18/2020,D'Anjou pear,Pear,Breakfast,5.0,Ounces,84,0,0.19,0.51,22.35,0.6,14.5,4.53,0,1.47
04/18/2020,Marys Gone Crackers GF,Cracker,Breakfast,7.0,Pieces,75,0,2.69,1.62,11.31,0.27,n/a,1.62,n/a,102.31
04/18/2020,Vegan Chicken Sandwich,Sandwich,Lunch,2.67,Servings,801,0,8.1,26.70,50.73,n/a,2.67,8.1,n/a,n/a
04/18/2020,"Peppers, Bell, Red, Medium, 2 3/4"" x 2 1/2""",BellPepperRed,Dinner,0.33,Each,12,0,0.12,0.39,2.37,0.1,1.65,0.82,0,1.57
04/18/2020,"Cucumber, Persian Organic",Cucumber,Dinner,1.0,Each,5,0,0,0,0.89,n/a,n/a,0.44,n/a,n/a
04/18/2020,"Coconut Milk, Unsweetened",Milk,Dinner,0.25,Cup,11,0,0.99,0,0.12,0.86,0.12,0,0,8.63
04/18/2020,"Eggplant, Cubes",Eggplant,Dinner,0.5,Cup,10,0,0.8,0.41,2.34,0.1,0.96,1.39,0,0.82
04/18/2020,"Chicken, Breast, Raw, Skinless, Boneless",Chicken,Dinner,4.0,Ounces,136,0,2.97,25.51,0,0.64,0,0,82.78,51.3
04/18/2020,Rice Basmati Cooked,Rice,Dinner,0.5,Cup,96,0,0,1.48,13.31,n/a,n/a,n/a,0,0
04/18/2020,Heirloom Tomato By Weight,Tomato,Dinner,3.0,Ounces,12,0,0,1.20,4.20,0,3,1.20,n/a,0
04/18/2020,"Sugar, Granulated",SugarWhite,Dinner,0.5,Tablespoon,24,0,0,0,6.30,0,6.29,0,0,0.6
04/18/2020,"Sauce, Green Curry Paste",Sauce,Dinner,0.5,Tablespoon,5,0,0,0,1.50,0,0,0,0,250
04/18/2020,"Peppers, Bell, Red, Medium, 2 3/4"" x 2 1/2""",BellPepperRed,Dinner,0.33,Each,12,0,0.12,0.39,2.37,0.1,1.65,0.82,0,1.57
04/18/2020,"Bamboo Shoots, Slices",Bamboo,Dinner,0.1666,Cup,7,0,0.8,0.65,1.31,0.2,0.75,0.55,0,1.1
04/18/2020,"Avocado, Hass, Medium",Avocado,Dinner,0.25,Each,60,0,5,0.50,3,1,0.50,2.50,0,0
04/18/2020,"Raw Green Cabbage, Shredded",Cabbage,Dinner,1.5,Cups,17,0,0.15,1.65,7.80,0,4.20,3.30,0,24
04/18/2020,Daikon Radish Kimchi,Radish,Dinner,1.0,Cup,25,0,0.23,1.19,5.49,0.4,2.24,1.73,0,489.33
04/18/2020,D'Anjou pear,Pear,Snacks,5.0,Ounces,84,0,0.19,0.51,22.35,0.6,14.5,4.53,0,1.47
04/18/2020,"Orange, Medium",Orange,Snacks,0.75,Each,46,0,0.12,0.92,11.54,0.1,9.19,2.36,0,0
04/18/2020,"Sugar, Granulated",SugarWhite,Snacks,0.5,Tablespoon,24,0,0,0,6.30,0,6.29,0,0,0.6
