Date,Name,Icon,Type,Quantity,Units,Calories,Deleted,Fat (g),Protein (g),Carbohydrates (g),Saturated Fat (g),Sugars (g),Fiber (g),Cholesterol (mg),Sodium (mg)
04/12/2020,Bulgarian Yogurt,Yogurt,Breakfast,0.33,Cup,46,0,2.64,4.29,1.65,1.49,1.65,0,8.25,52.80
04/12/2020,"Blueberries, Frozen",Blueberry,Breakfast,0.25,Cup,18,0,0,0,4.50,0,3.75,0.75,0,2.50
04/12/2020,"Bread, Long Italian",WhiteBread,Lunch,1.95,Ounces,117,0,0,2.92,23.40,0,0,0,0,253.50
04/12/2020,"Egg, Large",Egg,Lunch,2.0,Each,143,0,9.51,12.56,0.72,3.13,0.37,0,372,142
04/12/2020,Jamon Serrano,Pork,Lunch,1.5,Ounces,89,0,3.49,14.46,0.21,1.23,0.21,n/a,n/a,n/a
04/12/2020,Manchego Cheese,Cheese,Lunch,1.0,Ounce,91,0,7.9,7.9,0,5.6,0,0,20.25,151.87
04/12/2020,"Milk, Whole, 3.7%",Milk,Lunch,0.5,Cup,78,0,4.47,4,5.67,2.77,0,0,17.8,59.78
04/12/2020,"Sugar, Granulated",SugarWhite,Lunch,1.0,Tablespoon,49,0,0,0,12.60,0,12.57,0,0,0.13
04/12/2020,"Oil, Canola",Oil,Lunch,1.0,Tablespoon,120,0,14,0,0,1,0,0,0,0
04/12/2020,Egg Matzos,Cracker,Lunch,60.0,Grams,240,0,2,6,50,0,2,n/a,50,0
04/12/2020,"Rice, Basmati, Long Grain, Dry",Rice,Dinner,0.12,Cup,72,0,0.24,1.44,16.80,0,0,0,0,0
04/12/2020,Cojita Cheese,Cheese,Dinner,0.5,Ounce,25,0,2,1.75,0,n/a,n/a,n/a,n/a,n/a
04/12/2020,"Lentils, Green, Petite French, Dried",Peas,Dinner,0.16,Cup,102,0,0,7.68,18.56,0,1.28,4.48,0,9.60
04/12/2020,Green Cabbage,Cabbage,Dinner,0.12,Each,37,0,0,1.50,7.50,0,4.50,3,0,30
04/12/2020,"Oil, Olive, Extra Virgin",Oil,Dinner,1.0,Tablespoon,119,0,13.50,0,0,2,0,0,0,0
04/12/2020,"Egg, Large",Egg,Dinner,0.1,Each,7,0,0.48,0.63,0.4,0.16,0.2,0,18.60,7.10
04/12/2020,Leeks,Leeks,Dinner,0.25,Each,14,0,0.7,0.33,3.15,0.1,0.87,0.40,0,4.45
04/12/2020,Ground Pork (Raw),Pork,Dinner,2.0,Ounces,111,0,8.50,7.50,0,3.20,0,0,n/a,29
04/12/2020,Ground Chicken Raw,Chicken,Dinner,2.0,Ounces,75,0,4.50,11,0,1.25,n/a,n/a,52.50,67.50
04/12/2020,"Onion, Yellow, Whole, Small",Onion,Dinner,0.25,Each,7,0,0.2,0.19,1.63,0.1,0.74,0.30,0,0.70
04/12/2020,"Bread, Long Italian",WhiteBread,Dinner,0.25,Ounce,15,0,0,0.38,3,0,0,0,0,32.50
04/12/2020,Egg Matzos,Cracker,Dinner,60.0,Grams,240,0,2,6,50,0,2,n/a,50,0
04/12/2020,Manchego Cheese,Cheese,Dinner,0.9,Ounce,82,0,6.38,6.38,0,4.56,0,0,18.22,136.69
04/12/2020,Mary's Gone Crackers,Cracker,Snacks,13.0,Pieces,140,0,5,3,21,0.50,0,3,0,190
04/12/2020,Clementines,Orange,Snacks,2.0,Pieces,80,0,1,2,20,0,14,4,0,2
