Date,Name,Icon,Type,Quantity,Units,Calories,Deleted,Fat (g),Protein (g),Carbohydrates (g),Saturated Fat (g),Sugars (g),Fiber (g),Cholesterol (mg),Sodium (mg)
06/07/2020,"Papaya by ounce, raw",Papaya,Breakfast,5.1,Ounces,36,0,0.20,0.87,14.18,n/a,8.52,2.60,n/a,n/a
06/07/2020,Bulgarian Yogurt,Yogurt,Breakfast,0.33,Cup,46,0,2.64,4.29,1.65,1.49,1.65,0,8.25,52.80
06/07/2020,Korean Pancake Mix,Pancakes,Lunch,30.0,Grams,100,0,0,3,23,0,0,0,0,190
06/07/2020,Gochujang,Peppers,Lunch,0.33,Tablespoon,11,0,0,0.24,2.44,0,1.46,0,0,104.91
06/07/2020,"Raw Green Cabbage, Shredded",Cabbage,Lunch,0.25,Cup,3,0,0.3,0.28,1.30,0,0.70,0.55,0,4
06/07/2020,Bonito Flakes,Fish,Lunch,1.0,Tablespoon,3,0,0,0.50,0,0,0,0,0.50,2
06/07/2020,Mapo tofu concentrate 0603/2020,Recipe,Lunch,1.75,Servings,157,0,10.97,12.18,1.40,3.43,0.72,0,39.97,249.35
06/07/2020,Chicken Stock,Soup,Lunch,0.33,Cup,27,0,0.91,1.87,0.31,n/a,n/a,n/a,n/a,n/a
06/07/2020,"Tofu, Medium Firm",Tofu,Lunch,2.0,Ounces,47,0,2.67,5.34,0,0.33,0,0,0,0
06/07/2020,La rice bar,Recipe,Lunch,2.0,Servings,178,0,2.45,3.77,35.35,0.59,10.89,0.91,1.77,20.98
06/07/2020,"Dumpling King, Vegetable Steamed",Vegetable,Lunch,1.0,Piece,120,0,1.75,3.50,16,0.25,2,0,0,19
06/07/2020,"Oil, Olive, Extra Virgin",Oil,Dinner,1.5,Tablespoons,179,0,20.25,0,0,3,0,0,0,0
06/07/2020,"Raw Green Cabbage, Shredded",Cabbage,Dinner,0.25,Cup,3,0,0.3,0.28,1.30,0,0.70,0.55,0,4
06/07/2020,Tahini,SpiceYellow,Dinner,1.0,Teaspoon,30,0,2.67,1.17,0.50,0.42,0.33,0.17,0,11.67
06/07/2020,"Bread, Pita, White, Original",Tortilla,Dinner,2.2,Ounces,160,0,0,5.35,33.86,0,1.78,1.78,0,222.75
06/07/2020,"Eggplant, Cubes",Eggplant,Dinner,1.0,Cup,20,0,0.16,0.83,4.67,0.2,1.93,2.79,0,1.64
06/07/2020,"Cucumber, Persian Organic",Cucumber,Dinner,6.0,Each,32,0,0,0,5.33,n/a,n/a,2.67,n/a,n/a
06/07/2020,Chicken Thighs Boneless Skinless Grilled,ChickenGrilled,Dinner,4.5,Ounces,261,0,13.59,32.40,0,n/a,0,n/a,n/a,517.50
06/07/2020,"Olives, Manzanilla, Pimento, Stuff",OliveGreen,Dinner,5.0,Each,20,0,1.50,0,1,0,0,0,0,260
06/07/2020,"Grape Tomatoes, Organic",Tomato,Dinner,1.0,Cup,30,0,0,2,14,0,2,2,0,30
06/07/2020,Chicken Stock,Soup,Dinner,0.25,Cup,20,0,0.69,1.42,0.24,n/a,n/a,n/a,n/a,n/a
06/07/2020,"Onion, Yellow, Whole, Small",Onion,Dinner,0.25,Each,7,0,0.2,0.19,1.63,0.1,0.74,0.30,0,0.70
06/07/2020,"Wine, White, Medium Dry Style",WineWhite,Dinner,2.0,Tablespoons,20,0,0,0.6,0.34,0,0.34,0,0,7.20
06/07/2020,Punjabi rajma,Recipe,Snacks,5.0,Servings,94,0,2.15,5.36,5.83,0.21,2.25,5.34,0,12.45
06/07/2020,"Papaya by ounce, raw",Papaya,Snacks,9.33,Ounces,65,0,0.37,1.59,25.94,n/a,15.58,4.76,n/a,n/a
06/07/2020,Dark Chocolate with Forest Mint,Chocolate,Snacks,2.0,Cubes,47,0,0.67,0.10,0.77,0.37,0.43,0.17,0,0
06/07/2020,Coconut Curry,Popcorn,Snacks,58.0,Grams,286,0,14.50,4.14,33.14,2.7,n/a,6.21,n/a,155.36
06/07/2020,"Melon, Hami",Melon,Snacks,18.0,Ounces,173,0,1.2,n/a,41.84,n/a,n/a,n/a,n/a,n/a
06/06/2020,Instant Miso Soup,Default,Breakfast,1.0,Serving,25,0,10,2,3,0,2,1,0,740
06/06/2020,"Seaweed, Wakame",Seaweed,Breakfast,0.33,Cup,12,0,0.17,0.80,2.41,0.3,0.17,0.13,0,230.21
06/06/2020,"Sugar, Brown, Light",SugarBrown,Breakfast,1.0,Teaspoon,15,0,0,0,4,0,4,0,0,0
06/06/2020,Cherries,Cherry,Breakfast,7.0,Pieces,28,0,0,0.19,4.11,n/a,3.36,0.56,n/a,n/a
06/06/2020,Jjigae concentrate,Recipe,Lunch,2.05,Servings,152,0,10.1,10.79,4.9,3.22,2.26,0.24,37.78,161.62
