Date,Name,Icon,Type,Quantity,Units,Calories,Deleted,Fat (g),Protein (g),Carbohydrates (g),Saturated Fat (g),Sugars (g),Fiber (g),Cholesterol (mg),Sodium (mg)
05/16/2020,Street Tacos Yellow Corn Tortillas,Tortilla,Breakfast,1.0,Piece,30,0,0.33,0.67,6.33,n/a,0.67,0.67,0,6.67
05/16/2020,"Cheese, Switzerland Gruyere",Cheese,Breakfast,0.25,Ounce,30,0,2.25,2,0,1.50,0,0,6.25,40
05/16/2020,"Tomatoes, Fresh, Medium",Tomato,Breakfast,0.5,Each,11,0,0.12,0.54,2.41,0.1,1.62,0.74,0,3.8
05/16/2020,"Sugar, Granulated",SugarWhite,Breakfast,0.5,Teaspoon,8,0,0,0,2.10,0,2.10,0,0,0.2
05/16/2020,Clementines,Orange,Snacks,2.0,Pieces,80,0,1,2,20,0,14,4,0,2
05/15/2020,Bulgarian Yogurt,Yogurt,Breakfast,0.5,Cup,70,0,4,6.50,2.50,2.25,2.50,0,12.50,80
05/15/2020,"Orange, Medium",Orange,Breakfast,0.25,Each,15,0,0.4,0.31,3.85,0,3.6,0.79,0,0
05/15/2020,"Sugar, Granulated",SugarWhite,Breakfast,0.5,Teaspoon,8,0,0,0,2.10,0,2.10,0,0,0.2
05/15/2020,Serious eats guacamole 05/14/2020,Recipe,Lunch,2.5,Servings,109,0,9.25,1.49,7.70,1.35,1.27,4.43,0,4.83
05/15/2020,"Cheese, Wedge, Queso, Cotija",Cheese,Lunch,0.3,Ounce,36,0,3.4,2.13,0,1.82,0,0,9.11,145.80
05/15/2020,"Egg, Large",Egg,Lunch,2.0,Each,143,0,9.51,12.56,0.72,3.13,0.37,0,372,142
05/15/2020,Street Tacos Yellow Corn Tortillas,Tortilla,Lunch,3.0,Pieces,90,0,1,2,19,n/a,2,2,0,20
05/15/2020,"Peppers, Jalapeno, Pickled, Slc",Peppers,Lunch,2.0,Tablespoons,10,0,0,0,3,0,0,1,0,40
05/15/2020,Green Cabbage,Cabbage,Lunch,0.15,Each,47,0,0,1.88,9.38,0,5.63,3.75,0,37.50
05/15/2020,"Salsa, Med, Verde",DipGreen,Lunch,1.0,Cup,80,0,0,0,16,0,8,0,0,1280
05/15/2020,"Egg, Large",Egg,Dinner,2.0,Each,143,0,9.51,12.56,0.72,3.13,0.37,0,372,142
05/15/2020,Green Cabbage,Cabbage,Dinner,0.15,Each,47,0,0,1.88,9.38,0,5.63,3.75,0,37.50
05/15/2020,"Cheese, Wedge, Queso, Cotija",Cheese,Dinner,0.2,Ounce,24,0,2.2,1.42,0,1.21,0,0,6.7,97.20
05/15/2020,Serious eats guacamole 05/14/2020,Recipe,Dinner,2.0,Servings,88,0,7.40,1.19,6.16,1.8,1.1,3.54,0,3.86
05/15/2020,"Peppers, Jalapeno, Pickled, Slc",Peppers,Dinner,2.0,Tablespoons,10,0,0,0,3,0,0,1,0,40
05/15/2020,Street Tacos Yellow Corn Tortillas,Tortilla,Dinner,3.0,Pieces,90,0,1,2,19,n/a,2,2,0,20
05/15/2020,"Salsa, Med, Verde",DipGreen,Dinner,0.5,Cup,40,0,0,0,8,0,4,0,0,640
05/15/2020,"Oil, Olive, Extra Virgin",Oil,Dinner,0.5,Tablespoon,60,0,6.75,0,0,1,0,0,0,0
05/15/2020,Mung Bean Mooncake,Biscuit,Dinner,2.7,Ounces,284,0,10.93,6.56,41.55,4.37,17.50,0,0,21.87
05/15/2020,Clementines,Orange,Snacks,1.0,Piece,40,0,0.50,1,10,0,7,2,0,1
05/15/2020,"Currants, Zante, Dried",Raisin,Snacks,3.0,Teaspoons,25,0,0.2,0.37,6.67,0,6.6,0.61,0,0.72
05/15/2020,Ya Pear,Pear,Snacks,1.0,Serving,51,0,0,1,13,0,9,4,0,0
05/15/2020,"Popcorn, Yellow, Kernels",Corn,Snacks,1.33,Tablespoons,105,0,0.49,1.97,11.31,0,0,2.46,n/a,0
05/15/2020,"Oil, Canola",Oil,Snacks,1.0,Teaspoon,40,0,4.67,0,0,0.33,0,0,0,0
