Date,Name,Icon,Type,Quantity,Units,Calories,Deleted,Fat (g),Protein (g),Carbohydrates (g),Saturated Fat (g),Sugars (g),Fiber (g),Cholesterol (mg),Sodium (mg)
03/15/2020,Clementines,Orange,Breakfast,2.0,Pieces,80,0,1,2,20,0,14,4,0,2
03/15/2020,Street Tacos Yellow Corn Tortillas,Tortilla,Lunch,3.0,Pieces,90,0,1,2,19,n/a,2,2,0,20
03/15/2020,"Beef, Chorizo",Beef,Lunch,2.4,Ounces,301,0,29.16,6.80,2.92,13.61,0.97,0,92.34,592.91
03/15/2020,"Oil, Olive, Extra Virgin",Oil,Lunch,0.5,Tablespoon,60,0,6.75,0,0,1,0,0,0,0
03/15/2020,"Egg, Large",Egg,Lunch,2.0,Each,143,0,9.51,12.56,0.72,3.13,0.37,0,372,142
03/15/2020,"Broccoli, Chopped, Steamed",Broccoli,Lunch,1.0,Cup,55,0,0.64,3.71,11.20,0.11,2.17,5.15,0,63.96
03/15/2020,Cojita Cheese,Cheese,Lunch,0.5,Ounce,25,0,2,1.75,0,n/a,n/a,n/a,n/a,n/a
03/15/2020,Tahini,SpiceYellow,Lunch,1.0,Tablespoon,90,0,8,3.50,1.50,1.25,1,0.50,0,35
03/15/2020,"Onion, White, Chopped, Cooked",Onion,Lunch,1.0,Tablespoon,6,0,0.2,0.18,1.33,0,0.62,0.18,0,0.39
03/15/2020,"Rice, Wild, Cooked",Rice,Dinner,0.75,Cup,141,0,0.47,5.57,29.77,0.6,1.2,2.51,0,4.18
03/15/2020,"Oil, Sesame, 100%",Oil,Dinner,0.25,Teaspoon,11,0,1.17,0,0,0.17,0,0,0,0
03/15/2020,Daikon Radish Kimchi,Radish,Dinner,0.5,Cup,13,0,0.11,0.59,2.75,0.2,1.12,0.87,0,244.67
03/15/2020,"Tofu, Medium Firm",Tofu,Dinner,3.0,Ounces,70,0,4,8,0,0.50,0,0,0,0
03/15/2020,"Pork Shoulder Butt, Roasted",Pork,Dinner,3.0,Ounces,218,0,11.25,19.50,7.50,5.6,7.50,0,67.50,146.25
03/15/2020,Hachimitsu Umeboshi,Plum,Dinner,2.0,Pieces,10,0,0,0,3,0,2,1,0,910
03/15/2020,Japanese pickled cucumber,Pickle,Dinner,1.0,Ounce,10,0,0,0,0,0,0.67,0.67,0,123.33
03/15/2020,Korean Soybean Paste,Sauce,Dinner,1.0,Tablespoon,33,0,1,1,5,n/a,0,0,0,560
03/15/2020,melogold grapefruit 1/2 C.,Grapefruit,Snacks,2.0,Servings,120,0,0,2,18,0,16,2,0,0
03/15/2020,"Bread, Long Italian",WhiteBread,Snacks,0.35,Ounce,21,0,0,0.53,4.20,0,0,0,0,45.50
03/15/2020,"Peanut Butter, Creamy Unsalted",PeanutButter,Snacks,1.0,Tablespoon,70,0,5.55,2.59,2.96,1.11,1.11,0.74,0,46.21
03/15/2020,"Apple, Medium",Apple,Snacks,154.0,Grams,72,0,2,0.36,19.6,n/a,n/a,3.30,n/a,1
03/14/2020,"Oil, Olive, Extra Virgin",Oil,Lunch,1.0,Tablespoon,119,0,13.50,0,0,2,0,0,0,0
