Date,Name,Icon,Type,Quantity,Units,Calories,Deleted,Fat (g),Protein (g),Carbohydrates (g),Saturated Fat (g),Sugars (g),Fiber (g),Cholesterol (mg),Sodium (mg)
05/24/2020,Carrots Raw,Carrot,Breakfast,3.0,Ounces,34,0,0,1.57,12.60,0,7.87,3.15,0,102.37
05/24/2020,Basic hummus 5/19/2020,Recipe,Breakfast,2.0,Servings,88,0,3.69,4.39,10.50,0.81,0.50,3.46,0,150
05/24/2020,"Peppers, Bell, Red, Medium, 2 3/4"" x 2 1/2""",BellPepperRed,Breakfast,0.5,Each,18,0,0.18,0.59,3.59,0.1,2.50,1.25,0,2.38
05/24/2020,Red lentil dal,Recipe,Lunch,10.0,Servings,140,0,1.68,9.50,24.43,0.6,3.28,4.91,0,3.68
05/24/2020,Thai green curry 05/18/20,Recipe,Lunch,12.0,Servings,293,0,11.67,32.3,11.87,7.30,9.20,3.33,99.12,477.86
05/24/2020,"Raw Green Cabbage, Shredded",Cabbage,Lunch,1.0,Cup,11,0,0.10,1.10,5.20,0,2.80,2.20,0,16
05/24/2020,"Sugar, Brown, Light",SugarBrown,Lunch,1.0,Teaspoon,15,0,0,0,4,0,4,0,0,0
05/24/2020,Bulgarian Yogurt,Yogurt,Lunch,0.33,Cup,46,0,2.64,4.29,1.65,1.49,1.65,0,8.25,52.80
05/24/2020,Orange - Medium,Orange,Lunch,1.0,Serving,69,0,0,1.30,14.50,n/a,n/a,3.10,n/a,n/a
05/24/2020,Vietnamese pork sandwich (Banh Mi),Sandwich,Dinner,1.0,Serving,579,0,17,25,72,5,2,4,92,575
05/24/2020,Korean Pancake Mix,Pancakes,Dinner,40.0,Grams,133,0,0,4,30.67,0,0,0,0,253.33
05/24/2020,"Oil, Canola",Oil,Dinner,0.5,Tablespoon,60,0,7,0,0,0.50,0,0,0,0
05/24/2020,Scallions,Leeks,Dinner,1.0,Stick,5,0,0,0.30,1.10,0,0.30,0.40,0,2
05/24/2020,"Tofu, Medium Firm",Tofu,Dinner,4.6,Ounces,107,0,6.14,12.27,0,0.77,0,0,0,0
05/24/2020,"Oil, Sesame, 100%",Oil,Dinner,0.5,Teaspoon,22,0,2.33,0,0,0.33,0,0,0,0
05/24/2020,"Raw Green Cabbage, Shredded",Cabbage,Dinner,0.5,Cup,6,0,0.5,0.55,2.60,0,1.40,1.10,0,8
05/24/2020,"Apple, Small",Apple,Snacks,1.0,Each,54,0,0.40,0.50,15,n/a,9.50,1.50,n/a,n/a
05/24/2020,"Cheese, Italian, Pecorino Romano, Grated or Shredded",Cheese,Snacks,0.75,Ounce,84,0,6.7,5.32,0,5.32,0,0,22.78,417.65
05/24/2020,"Cheese, Switzerland Gruyere",Cheese,Snacks,0.25,Ounce,30,0,2.25,2,0,1.50,0,0,6.25,40
05/24/2020,Green Tea Chocolate,ChocolateChip,Snacks,1.0,Serving,31,0,2.25,0.25,2.33,1.33,1.83,0.17,0.83,1.67
05/24/2020,Extra Dark Chocolate Chips,ChocolateChips,Snacks,50.0,Grams,267,0,16.67,3.33,26.67,10,20,10,0,0
05/24/2020,Carrots Raw,Carrot,Snacks,3.6,Ounces,41,0,0,1.89,15.12,0,9.45,3.78,0,122.85
05/24/2020,"Peppers, Bell, Red, Medium, 2 3/4"" x 2 1/2""",BellPepperRed,Snacks,0.5,Each,18,0,0.18,0.59,3.59,0.1,2.50,1.25,0,2.38
05/24/2020,Basic hummus 5/19/2020,Recipe,Snacks,2.0,Servings,88,0,3.69,4.39,10.50,0.81,0.50,3.46,0,150
05/24/2020,"Pear, Small",Pear,Snacks,1.0,Each,86,0,0.18,0.56,22.88,0.1,14.50,4.59,0,1.48
05/23/2020,Bulgarian Yogurt,Yogurt,Breakfast,0.33,Cup,46,0,2.64,4.29,1.65,1.49,1.65,0,8.25,52.80
05/23/2020,Orange - Medium,Orange,Breakfast,1.0,Serving,69,0,0,1.30,14.50,n/a,n/a,3.10,n/a,n/a
05/23/2020,Red lentil dal,Recipe,Lunch,8.0,Servings,112,0,1.35,7.60,19.55,0.5,2.62,3.93,0,2.95
05/23/2020,Sweet Potato Japanese Large,Potato,Lunch,6.2,Ounces,155,0,0,6.20,37.20,0,6.20,6.20,0,0
05/23/2020,Thai green curry 05/18/20,Recipe,Lunch,12.0,Servings,293,0,11.67,32.3,11.87,7.30,9.20,3.33,99.12,477.86
