Date,Name,Icon,Type,Quantity,Units,Calories,Deleted,Fat (g),Protein (g),Carbohydrates (g),Saturated Fat (g),Sugars (g),Fiber (g),Cholesterol (mg),Sodium (mg)
04/26/2020,"Oatmeal, Oats, Old Fashioned, Dry",Oatmeal,Breakfast,0.25,Cup,75,0,1.50,2.50,13.50,0.25,0.50,2,0,0
04/26/2020,"Strawberries, Medium, 1 1/4""",Strawberry,Breakfast,4.0,Each,15,0,0.14,0.32,3.69,0,2.35,0.96,0,0.48
04/26/2020,"Sugar, Brown, Light",SugarBrown,Breakfast,0.5,Teaspoon,8,0,0,0,2,0,2,0,0,0
04/26/2020,kinako,Default,Breakfast,1.0,Teaspoon,12,0,1.17,1.67,1.67,0,0.67,0.67,0,0
04/26/2020,"Oil, Olive, Extra Virgin",Oil,Lunch,1.0,Tablespoon,119,0,13.50,0,0,2,0,0,0,0
04/26/2020,"Bread, Long Italian",WhiteBread,Lunch,1.55,Ounces,93,0,0,2.33,18.60,0,0,0,0,201.50
04/26/2020,Mary's Gone Crackers,Cracker,Lunch,8.0,Pieces,86,0,3.8,1.85,12.92,0.31,0,1.85,0,116.92
04/26/2020,"Cucumber, Persian Organic",Cucumber,Lunch,2.5,Each,13,0,0,0,2.22,n/a,n/a,1.11,n/a,n/a
04/26/2020,"Tomatoes, Fresh, Medium",Tomato,Lunch,1.5,Each,33,0,0.37,1.62,7.23,0.4,4.85,2.21,0,9.22
04/26/2020,Nduja,DeliMeat,Lunch,0.6,Ounce,109,0,10.33,3.4,0.61,3.64,n/a,n/a,15.19,249.7
04/26/2020,"Cheese, Cabrales (cow milk)",Cheese,Lunch,0.75,Ounce,78,0,6.38,4.96,0.71,3.54,0,0,21.26,141.75
04/26/2020,Jonagold Apple,Apple,Lunch,3.8,Ounces,38,0,0,0.48,16.15,0,11.88,2.38,0,0
04/26/2020,Bulgarian Yogurt,Yogurt,Lunch,0.5,Cup,70,0,4,6.50,2.50,2.25,2.50,0,12.50,80
04/26/2020,"Orange, Medium",Orange,Lunch,0.5,Each,31,0,0.8,0.62,7.70,0.1,6.12,1.57,0,0
04/26/2020,Prickly Pear,Fig,Lunch,1.0,Tablespoon,4,0,0.5,0.7,0.89,0.1,0,0.34,0,0.47
04/26/2020,"Sugar, Granulated",SugarWhite,Lunch,0.5,Tablespoon,24,0,0,0,6.30,0,6.29,0,0,0.6
04/26/2020,Raw Mixed Nuts,MixedNuts,Dinner,0.33,Cup,98,0,8.46,3.25,3.90,0.98,0.65,1.30,0,0
04/26/2020,Marys Gone Crackers GF,Cracker,Dinner,7.0,Pieces,75,0,2.69,1.62,11.31,0.27,n/a,1.62,n/a,102.31
04/26/2020,Amontillado sherry,WineWhite,Dinner,1.0,Ounce,32,0,0,0,0,0,n/a,0,0.50,0
04/26/2020,"Gin, 80 Proof",Alcohol,Dinner,1.0,Fluid ounce,64,0,0,0,0,0,0,0,0,0.28
04/26/2020,"Egg, Large",Egg,Dinner,2.0,Each,143,0,9.51,12.56,0.72,3.13,0.37,0,372,142
04/26/2020,"Soup, Miso",Soup,Dinner,0.3,Cup,21,0,0.60,1.50,2.70,0.12,0,0.90,0,216.30
04/26/2020,Daikon Radish Kimchi,Radish,Dinner,0.25,Cup,6,0,0.6,0.30,1.37,0.1,0.56,0.43,0,122.33
04/26/2020,Korean Pancake Mix,Pancakes,Dinner,100.0,Grams,333,0,0,10,76.67,0,0,0,0,633.33
04/26/2020,"Oil, Canola",Oil,Dinner,1.0,Tablespoon,120,0,14,0,0,1,0,0,0,0
04/26/2020,Clementines,Orange,Snacks,2.0,Pieces,80,0,1,2,20,0,14,4,0,2
