Date,Name,Icon,Type,Quantity,Units,Calories,Deleted,Fat (g),Protein (g),Carbohydrates (g),Saturated Fat (g),Sugars (g),Fiber (g),Cholesterol (mg),Sodium (mg)
04/05/2020,"Strawberries, Large",Strawberry,Breakfast,3.5,Each,20,0,0.19,0.42,4.84,0.1,3.8,1.26,0,0.63
04/05/2020,Puffed Kamut,Cereal,Breakfast,0.5,Cup,25,0,0,1.50,5.50,n/a,0,n/a,n/a,n/a
04/05/2020,"Egg, Large",Egg,Lunch,2.0,Each,143,0,9.51,12.56,0.72,3.13,0.37,0,372,142
04/05/2020,"Flour, All Purpose",SugarWhite,Lunch,0.33,Cup,132,0,0,3.96,29.4,0,n/a,n/a,0,0
04/05/2020,"Milk, Whole, 3.7%",Milk,Lunch,0.5,Cup,78,0,4.47,4,5.67,2.77,0,0,17.8,59.78
04/05/2020,"Sugar, Powdered",SugarWhite,Lunch,1.0,Teaspoon,10,0,0,0,2.49,0,2.45,0,0,0.5
04/05/2020,"Butter, Unsalted, Stick",Butter,Lunch,0.66,Tablespoon,66,0,7.26,0,0,4.62,0,0,19.80,0
04/05/2020,"Mango, Whole",Mango,Lunch,0.5,Each,67,0,0.28,0.53,17.59,0.6,15.32,1.86,0,2.7
04/05/2020,Bulgarian Yogurt,Yogurt,Lunch,3.0,Tablespoons,26,0,1.50,2.44,0.94,0.84,0.94,0,4.69,30
04/05/2020,"Jam, Apricot",Jam,Lunch,1.0,Tablespoon,48,0,0.4,0.14,12.88,0,8.68,0.6,0,8
04/05/2020,"Sugar, Granulated",SugarWhite,Lunch,1.0,Teaspoon,16,0,0,0,4.20,0,4.19,0,0,0.4
04/05/2020,Korean Soybean Paste,Sauce,Dinner,1.0,Tablespoon,33,0,1,1,5,n/a,0,0,0,560
04/05/2020,"Tofu, Medium Firm",Tofu,Dinner,2.0,Ounces,47,0,2.67,5.34,0,0.33,0,0,0,0
04/05/2020,Daikon Radish Kimchi,Radish,Dinner,1.0,Cup,25,0,0.23,1.19,5.49,0.4,2.24,1.73,0,489.33
04/05/2020,Pork Lard,Pork,Dinner,0.5,Tablespoon,65,0,7,0,0,2.25,0,0,7.50,0
04/05/2020,"Mushrooms, Brown",Mushroom,Dinner,0.5,Cup,10,0,0.4,1.9,1.87,0,0.75,0.26,0,2.61
04/05/2020,"Squash, Zucchini, w/ Skin, Large",Zucchini,Dinner,0.25,Each,14,0,0.26,0.98,2.51,0.6,2.2,0.81,0,6.46
04/05/2020,Japanese pickled cucumber,Pickle,Dinner,1.0,Ounce,10,0,0,0,0,0,0.67,0.67,0,123.33
04/05/2020,Sweet Potato Japanese Large,Potato,Dinner,13.0,Ounces,325,0,0,13,78,0,13,13,0,0
04/05/2020,"Stock, Chicken, Prep from Recipe",Soup,Dinner,0.25,Cup,22,0,0.72,1.51,2.12,0.19,0.95,0,1.80,85.80
04/05/2020,Carrots Raw,Carrot,Dinner,3.0,Ounces,34,0,0,1.57,12.60,0,7.87,3.15,0,102.37
04/05/2020,Cojita Cheese,Cheese,Dinner,0.5,Ounce,25,0,2,1.75,0,n/a,n/a,n/a,n/a,n/a
04/05/2020,"Nuts, Cashews, Whole, Salted, Dry Cooked",Cashew,Dinner,1.0,Tablespoon,49,0,3.97,1.31,2.80,0.78,0.43,0.26,0,54.80
04/05/2020,"Oil, Olive, Extra Virgin",Oil,Dinner,1.0,Teaspoon,40,0,4.50,0,0,0.67,0,0,0,0
04/05/2020,"Pear, D'Anjou Organic",Pear,Snacks,1.33,Servings,130,0,0.93,0.93,33.25,0,n/a,5.99,n/a,1.33
04/05/2020,Clementines,Orange,Snacks,2.0,Pieces,80,0,1,2,20,0,14,4,0,2
04/05/2020,"Sugar, Granulated",SugarWhite,Snacks,2.0,Tablespoons,98,0,0,0,25.20,0,25.15,0,0,0.25
04/05/2020,Puffed Kamut,Cereal,Snacks,0.5,Cup,25,0,0,1.50,5.50,n/a,0,n/a,n/a,n/a
04/05/2020,"Candy, White Rabbit",Candy,Snacks,1.0,Piece,20,0,0.38,0.25,3.88,0.25,1.88,0,0.88,1.88
04/04/2020,"Strawberries, Large",Strawberry,Breakfast,2.0,Each,12,0,0.11,0.24,2.76,0,1.76,0.72,0,0.36
04/04/2020,Puffed Kamut,Cereal,Breakfast,0.5,Cup,25,0,0,1.50,5.50,n/a,0,n/a,n/a,n/a
04/04/2020,Ground Pork (Raw),Pork,Lunch,2.2,Ounces,122,0,9.35,8.25,0,3.52,0,0,n/a,31.90
04/04/2020,Ground Chicken Raw,Chicken,Lunch,2.2,Ounces,83,0,4.95,12.10,0,1.38,n/a,n/a,57.75,74.25
04/04/2020,"Bread, Long Italian",WhiteBread,Lunch,0.25,Ounce,15,0,0,0.38,3,0,0,0,0,32.50
04/04/2020,"Egg, Large",Egg,Lunch,0.1,Each,7,0,0.48,0.63,0.4,0.16,0.2,0,18.60,7.10
04/04/2020,"Rice, Basmati, Long Grain, Dry",Rice,Lunch,0.12,Cup,72,0,0.24,1.44,16.80,0,0,0,0,0
04/04/2020,"Lentils, Green, Petite French, Dried",Peas,Lunch,0.16,Cup,102,0,0,7.68,18.56,0,1.28,4.48,0,9.60
04/04/2020,"Oil, Olive, Extra Virgin",Oil,Lunch,1.0,Tablespoon,119,0,13.50,0,0,2,0,0,0,0
